ts_code,trade_date,close,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,ps,ps_ttm,total_mv,circ_mv
000538.SZ,20221208,58.9,1.3825,1.8053,37.7495,39.8179,2.7979,2.9096,3.0302,10583520.4136,5000049.9729
000538.SZ,20221207,58.47,0.983,1.2836,37.4739,39.5272,2.7774,2.8884,3.0081,10506255.324,4963547.0614
000538.SZ,20221206,57.75,0.8254,1.0778,37.0124,39.0404,2.7432,2.8528,2.971,10376881.2205,4902425.9072
000538.SZ,20221205,57.6,0.7873,1.028,36.9163,38.939,2.7361,2.8454,2.9633,10349928.2822,4889692.3334
000538.SZ,20221202,56.83,0.5077,0.663,36.4228,38.4185,2.6995,2.8074,2.9237,10211569.866,4824326.6547
000538.SZ,20221201,57.26,0.8779,1.1463,36.6984,38.7092,2.72,2.8286,2.9458,10288834.9556,4860829.5662
000538.SZ,20221130,56.58,0.5487,0.7165,36.2626,38.2495,2.6877,2.795,2.9108,10166648.3022,4803104.0317
000538.SZ,20221129,56.91,0.5978,0.7806,36.4741,38.4726,2.7033,2.8113,2.9278,10225944.7664,4831117.894
000538.SZ,20221128,56.04,0.5419,0.7076,35.9165,37.8844,2.662,2.7684,2.883,10069617.7246,4757263.1661
000538.SZ,20221125,56.91,0.8579,1.1202,36.4741,38.4726,2.7033,2.8113,2.9278,10225944.7664,4831117.894
000538.SZ,20221124,56.18,0.6606,0.8626,36.0062,37.9791,2.6687,2.7753,2.8902,10094773.8003,4769147.8349
000538.SZ,20221123,56.07,0.6178,0.8068,35.9357,37.9047,2.6634,2.7698,2.8846,10075008.3122,4759809.8808
000538.SZ,20221122,56.45,0.8454,1.1039,36.1792,38.1616,2.6815,2.7886,2.9041,10143289.0891,4792068.2678
000538.SZ,20221121,57.5,0.8145,1.0636,36.8522,38.8714,2.7314,2.8405,2.9582,10331959.6568,4881203.2843
000538.SZ,20221118,58.07,1.3552,1.7696,37.2175,39.2568,2.7584,2.8686,2.9875,10434380.822,4929590.8646
