ts_code,event_type,report_period,announcement_date,event_trading_date,earnings_surprise,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,positive_revision_dummy,CAR20,CAR60,size,beta,book_to_market,turnover20
000068.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-102.76,-4.355,98.405,cross_sectional_90d_median,0,-0.07037650276011412,-0.2607454764288315,333208.2546,0.9411482924784206,0.18112660749864154,
000070.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-215.605,-117.19999999999999,98.405,cross_sectional_90d_median,0,0.029224789893611276,-0.22972822800413908,1870016.0665,1.2747631212554134,0.08062825536581039,
000089.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-210.77530000000002,-112.3703,98.405,cross_sectional_90d_median,0,-0.05300034029216664,-0.2411746351724592,1402726.3442,1.1565371266686608,0.8250144377526607,
000157.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-36.04,62.365,98.405,cross_sectional_90d_median,0,-0.1356951589288483,0.21083867696683609,7091798.8935,1.0303303949527551,0.8117542008279893,
000158.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-307.315,-208.91,98.405,cross_sectional_90d_median,0,-0.09693108713272794,-0.3991604575209947,2850333.6135,1.2484773273911522,0.18962019075791192,
000301.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-181.58,-83.17500000000001,98.405,cross_sectional_90d_median,0,0.23595112845319557,0.4906005230868171,7629360.2636,0.5606217105960805,0.4380969070358363,
000402.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-133.405,-35.0,98.405,cross_sectional_90d_median,0,0.022477656408893282,-0.1981939914073463,848856.0936,0.808841576761516,2.7739251040221915,
000409.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,42.072100000000006,140.4771,98.405,cross_sectional_90d_median,0,-0.04160591647670845,-0.18187155656215584,757725.0646,0.5683842258264077,0.2118958320089844,
000410.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-18.955,79.45,98.405,cross_sectional_90d_median,0,-0.08241641399304614,-0.32765972699456003,1780177.062,0.21644164676366698,0.331928170743851,
000420.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-455.28004999999996,-356.87505,98.405,cross_sectional_90d_median,0,-0.0860190167767271,-0.24844221867180774,1231893.0398,0.6969039028027005,0.35905353488205094,
000422.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-200.62425000000002,-102.21925,98.405,cross_sectional_90d_median,0,-0.004057119216897697,0.02109408525639044,1731434.8615,0.3932123486359016,0.34051826880512137,
000423.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-209.405,-111.0,98.405,cross_sectional_90d_median,0,0.006135132698670449,-0.21910001195057052,3582443.0719,0.9091237926688421,0.2885253469517297,
000426.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-153.96,-55.555,98.405,cross_sectional_90d_median,0,0.02733180441597722,-0.08536798917599524,7945969.932,1.3836785974892236,0.11525783176966875,
000428.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-208.9,-110.495,98.405,cross_sectional_90d_median,0,-0.10996390604995027,-0.3952425047894691,404513.622,0.6023734273726827,0.3445543189883885,
000429.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-167.71,-69.305,98.405,cross_sectional_90d_median,0,-0.02878960764375254,-0.2945791694078187,2686685.8719,0.5701147478038345,0.41375315486780584,
000501.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-173.895,-75.49000000000001,98.405,cross_sectional_90d_median,0,-0.08919391405225244,-0.4247355481635813,661333.7487,1.0063458114102237,1.6490765171503956,
000506.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-424.20205,-325.79705,98.405,cross_sectional_90d_median,0,-0.03884421722480294,-0.258378542819523,1614632.8686,0.8526371970009468,0.055064866412634084,
