model,dependent_var,variable,coef,t_stat,p_value,n_obs,r2
event_type_express,CAR20,book_to_market,-0.11805922650238307,-0.2133570268549081,0.8310484963660325,41,0.9134134420850102
event_type_express,CAR20,turnover20,-0.012198816010334625,-0.07964110778383247,0.9365226997518786,41,0.9134134420850102
event_type_express,CAR20,pe_ttm,0.0005693150005087598,0.13440028521132144,0.8930860561150983,41,0.9134134420850102
event_type_express,CAR20,ps_ttm,-0.02095325037813155,-0.19645368070377134,0.8442550836207439,41,0.9134134420850102
event_type_formal_release,CAR20,main_surprise_std,-0.008946081550757124,-0.5733789962834035,0.566388108478334,213,0.24872140407347565
event_type_formal_release,CAR20,log_total_mv,-0.029050699291016502,-3.00789057955614,0.0026306783751768596,213,0.24872140407347565
event_type_formal_release,CAR20,beta,-0.030756023010804726,-0.8706143225692928,0.383964773485563,213,0.24872140407347565
event_type_formal_release,CAR20,book_to_market,-0.032393077673131536,-1.1870979841768656,0.23518897339741207,213,0.24872140407347565
event_type_formal_release,CAR20,turnover20,-0.005988820762740538,-0.9643027796843551,0.33489414769068493,213,0.24872140407347565
event_type_formal_release,CAR20,pe_ttm,2.0735192351555193e-05,0.6911250572087356,0.4894869548371512,213,0.24872140407347565
event_type_formal_release,CAR20,ps_ttm,0.004900873647007663,1.632530055987233,0.10256787216143014,213,0.24872140407347565
event_type_preannouncement,CAR20,main_surprise_std,0.004297854397332317,0.1612814041194479,0.8718717688810697,93,0.45933645685641744
event_type_preannouncement,CAR20,log_total_mv,0.003946620553247383,0.18367371438003147,0.8542694309452961,93,0.45933645685641744
event_type_preannouncement,CAR20,beta,-0.056628102134922365,-0.9563701016984357,0.3388852844228383,93,0.45933645685641744
event_type_preannouncement,CAR20,book_to_market,-0.007521220895804138,-0.08894119920709882,0.929128641043869,93,0.45933645685641744
event_type_preannouncement,CAR20,turnover20,0.006460904019576876,0.3290936738176871,0.7420848857355902,93,0.45933645685641744
event_type_preannouncement,CAR20,pe_ttm,5.636251225724668e-05,0.6482745011636085,0.5168074231938634,93,0.45933645685641744
event_type_preannouncement,CAR20,ps_ttm,0.00013216659595924286,0.04760095816662678,0.962034268390417,93,0.45933645685641744
