ts_code,event_type,report_period,announcement_date,event_trading_date,earnings_surprise,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,positive_revision_dummy,CAR20,CAR60,size,beta,book_to_market,turnover20,log_size,high_ES_dummy,strong_ES_dummy
000429.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,150.935,213.21,62.275000000000006,cross_sectional_90d_median,0,-0.000761153635000472,0.04802658469058263,2686685.8719,0.0729762938642634,0.41375315486780584,,14.803818974139029,1,1
000501.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,109.975,172.25,62.275000000000006,cross_sectional_90d_median,0,-0.03617435512979168,0.0492092141482996,661333.7487,0.4180312394095745,1.6490765171503956,,13.402013906233245,1,1
000507.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,25.224999999999994,87.5,62.275000000000006,cross_sectional_90d_median,0,-0.037577411862961124,0.016906816981792746,489298.9641,0.11273332009177926,1.1186933661483387,,13.100728960168905,1,0
000509.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,49.39999999999999,111.675,62.275000000000006,cross_sectional_90d_median,0,0.002249302376061953,0.17626891722276541,400276.7634,0.05483763748770258,0.030833459236625217,,12.89991149533179,1,0
000510.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,467.65999999999997,529.935,62.275000000000006,cross_sectional_90d_median,0,-0.19486183795995443,-0.04101475924895713,982543.5373,0.4289788021499621,0.12562656248037085,,13.797899934517309,1,1
000519.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,22.900000000000006,85.17500000000001,62.275000000000006,cross_sectional_90d_median,0,0.24710002300161177,-0.028254881562839392,2478754.988,0.4097937403311264,0.4120992334954257,,14.723266971118708,1,0
000521.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,87.90484999999998,150.17985,62.275000000000006,cross_sectional_90d_median,0,-0.005334874941112576,0.1373121471926947,589116.365,0.5215434012577742,1.0326311441553078,,13.286379006787826,1,1
000523.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,27.681999999999988,89.957,62.275000000000006,cross_sectional_90d_median,0,-0.09611624509209254,-0.10169428554170452,592856.3129,-0.0837380545421981,0.3236664940445365,,13.292707343222878,1,0
000090.SZ,guidance_initial,2021-12-31,2021-12-29,2021-12-30,29.865000000000002,29.865000000000002,0.0,fallback_zero,0,0.1624017503750021,0.3703914297177321,682019.0834,0.2993523418342525,1.655355073663301,,13.43281291795905,1,0
000301.SZ,guidance_initial,2021-12-31,2022-01-06,2022-01-07,493.72,493.72,0.0,fallback_zero,0,-0.07157259304735201,-0.23256692750446836,7629360.2636,0.6677811031536887,0.4380969070358363,,15.84751455486997,1,1
000009.SZ,guidance_initial,2021-12-31,2022-01-11,2022-01-12,28.805,58.67,29.865000000000002,cross_sectional_90d_median,0,0.006207911897309468,-0.17912512384343607,2305817.2847,0.802068059196217,0.4370820402989641,,14.65094574193643,1,0
000408.SZ,guidance_initial,2021-12-31,2022-01-12,2022-01-13,478.30750000000006,522.575,44.2675,cross_sectional_90d_median,0,0.1330457839949093,-0.019433624008405717,13808565.2015,0.7251580534369123,0.11763321962122104,,16.440799624368836,1,1
000520.SZ,guidance_initial,2021-12-31,2022-01-19,2022-01-20,837.3875,849.76,12.3725,cross_sectional_90d_median,0,0.06076258842044115,0.10667004164226086,426087.1346,0.13210628187246157,0.09452421237700037,,12.96239914565034,1,1
000429.SZ,guidance_initial,2021-12-31,2022-01-20,2022-01-21,72.97,88.695,15.725000000000001,cross_sectional_90d_median,0,0.06276779818342595,0.28674811968548025,2686685.8719,0.16424041237260928,0.41375315486780584,,14.803818974139029,1,1
000428.SZ,guidance_initial,2021-12-31,2022-01-21,2022-01-24,91.815,114.61,22.795,cross_sectional_90d_median,0,0.07462664047878857,0.23820733781054299,404513.622,-0.2258563201233023,0.3445543189883885,,12.910440691057042,1,1
000016.SZ,guidance_initial,2021-12-31,2022-01-25,2022-01-26,63.540000000000006,86.33500000000001,22.795,cross_sectional_90d_median,0,0.010551563973559365,-0.10784841756456667,792214.0392,0.47337756696807404,0.1597597213790459,,13.582586885800351,1,1
000025.SZ,guidance_initial,2021-12-31,2022-01-25,2022-01-26,102.665,125.46000000000001,22.795,cross_sectional_90d_median,0,0.029837900729745095,-0.09492904603122423,702194.0033,0.6119000012150181,0.2573870071038814,,13.461965002805325,1,1
000151.SZ,guidance_initial,2021-12-31,2022-01-25,2022-01-26,80.045,102.84,22.795,cross_sectional_90d_median,0,0.1482190989966929,0.11744230690038782,418631.1992,0.3508654398813217,0.11569253551760841,,12.944745618467005,1,1
000510.SZ,guidance_initial,2021-12-31,2022-01-25,2022-01-26,303.56,326.355,22.795,cross_sectional_90d_median,0,0.2013092854607572,0.12812660032570244,982543.5373,0.16159620974265596,0.12562656248037085,,13.797899934517309,1,1
000059.SZ,guidance_initial,2021-12-31,2022-01-26,2022-01-27,114.06500000000001,172.735,58.67,cross_sectional_90d_median,0,0.04651718630926606,-0.009573580588746272,844505.6595,0.5737569467292116,1.1936022917164002,,13.646506716806115,1,1
000521.SZ,guidance_initial,2021-12-31,2022-01-26,2022-01-27,101.5177,160.1877,58.67,cross_sectional_90d_median,0,0.08345154409887358,0.2095089395322944,589116.365,0.30503083440899625,1.0326311441553078,,13.286379006787826,1,1
000007.SZ,guidance_initial,2021-12-31,2022-01-27,2022-01-28,88.47455,130.50955,42.035,cross_sectional_90d_median,0,0.08628859010000503,0.2105479359229693,474287.3722,0.49244882433241066,0.03851516341983839,,13.069568687433659,1,1
000014.SZ,guidance_initial,2021-12-31,2022-01-27,2022-01-28,636.0000000000001,678.0350000000001,42.035,cross_sectional_90d_median,0,0.1601353779611338,0.5600830763505954,322647.6166,0.37087985882930635,0.45660015524405273,,12.684316036384898,1,1
000068.SZ,guidance_initial,2021-12-31,2022-01-27,2022-01-28,3.7850000000000037,45.82,42.035,cross_sectional_90d_median,0,0.06075485322095378,-0.0024418641383006714,333208.2546,0.31288360212303695,0.18112660749864154,,12.716522962677445,1,0
000012.SZ,guidance_initial,2021-12-31,2022-01-29,2022-02-07,16.314999999999998,87.5,71.185,cross_sectional_90d_median,0,-0.0437934647358982,-0.2850984713518127,1381280.8402,0.1979093431694359,0.9559315553006404,,14.138521771745546,1,0
000031.SZ,guidance_initial,2021-12-31,2022-01-29,2022-02-07,55.95845,127.14345,71.185,cross_sectional_90d_median,0,0.07652435890154137,0.19140142461232612,1243030.8683,0.38974692350913714,0.8151952392598028,,14.033063203893265,1,1
000058.SZ,guidance_initial,2021-12-31,2022-01-28,2022-02-07,27.759999999999998,73.58,45.82,cross_sectional_90d_median,0,0.03026863258459441,-0.05816921315959752,993578.9423,0.366631400703807,0.20264245764772634,,13.80906879659941,1,0
000078.SZ,guidance_initial,2021-12-31,2022-01-28,2022-02-07,79.30725000000001,125.12725,45.82,cross_sectional_90d_median,0,0.22672007163257218,0.18766932744443693,1028769.1935,0.1447084412345287,0.17713536684734474,,13.843873687907516,1,1
000100.SZ,guidance_initial,2021-12-31,2022-01-28,2022-02-07,85.68,131.5,45.82,cross_sectional_90d_median,0,-0.023693287165405114,-0.15125980423623153,9006773.4396,0.8456054506948644,0.682081713389264,,16.01348745663582,1,1
000403.SZ,guidance_initial,2021-12-31,2022-01-29,2022-02-07,66.815,138.0,71.185,cross_sectional_90d_median,0,0.10108633651270546,-0.10727878758471263,1241218.9861,0.7963076605525905,0.6466214031684449,,14.03160450800721,1,1
000415.SZ,guidance_initial,2021-12-31,2022-01-29,2022-02-07,16.159999999999997,87.345,71.185,cross_sectional_90d_median,0,-0.0335149760097743,-0.15437316868329493,2838695.2684,0.4404423832684714,1.0165700925078784,,14.858855092039907,1,0
000422.SZ,guidance_initial,2021-12-31,2022-01-28,2022-02-07,1235.93,1281.75,45.82,cross_sectional_90d_median,0,0.2085907233288977,0.3431075315106185,1731434.8615,0.47286038475067155,0.34051826880512137,,14.364461022423068,1,1
000423.SZ,guidance_initial,2021-12-31,2022-01-28,2022-02-07,896.68,942.5,45.82,cross_sectional_90d_median,0,0.019675220263232623,-0.06028779682626985,3582443.0719,0.7751196560042439,0.2885253469517297,,15.091555547951089,1,1
000426.SZ,guidance_initial,2021-12-31,2022-01-29,2022-02-07,162.07,233.255,71.185,cross_sectional_90d_median,0,0.0880602238375164,-0.041103579310739685,7945969.932,0.501434723508803,0.11525783176966875,,15.888175431307236,1,1
000506.SZ,guidance_initial,2021-12-31,2022-01-29,2022-02-07,7.510249999999985,78.69524999999999,71.185,cross_sectional_90d_median,0,-0.035926684083933305,-0.05635429045072299,1614632.8686,0.13655281660285293,0.055064866412634084,,14.294618162852162,1,0
000507.SZ,guidance_initial,2021-12-31,2022-01-28,2022-02-07,17.734999999999992,63.55499999999999,45.82,cross_sectional_90d_median,0,0.07444145254669551,-0.002339743599194165,489298.9641,0.2914210088851339,1.1186933661483387,,13.100728960168905,1,0
000519.SZ,guidance_initial,2021-12-31,2022-01-28,2022-02-07,25.365000000000002,71.185,45.82,cross_sectional_90d_median,0,0.12712363918264377,0.3144162289395475,2478754.988,0.7109761365312792,0.4120992334954257,,14.723266971118708,1,0
000523.SZ,guidance_initial,2021-12-31,2022-01-29,2022-02-07,55.25099999999999,126.43599999999999,71.185,cross_sectional_90d_median,0,-0.058305738534996245,-0.006459947958161707,592856.3129,0.05954028625116343,0.3236664940445365,,13.292707343222878,1,0
