ts_code,name,report_date,report_title,report_type,classify,org_name,author_name,quarter,op_rt,op_pr,tp,np,eps,pe,rd,roe,ev_ebitda,rating,max_price,min_price
002156.SZ,通富微电,20250830,通富微电：AMD强劲增长护航，先进封装技术赋能长期发展,点评,一般报告,华金证券,"熊军,宋鹏",2025Q4,2678600.0,,132900.0,104000.0,0.69,48.3,,6.8,13.3,买入,,
600933.SH,爱柯迪,20250830,爱柯迪：全球化产能落地，机器人业务进展良好,点评,一般报告,西南证券,"郑连声,张雪晴",2027Q4,1289600.0,,208000.0,179000.0,1.82,10.82,1.5,15.02,5.83,买入,,
002668.SZ,TCL智家,20250830,TCL智家：营收利润延续正增，外销端表现亮眼,点评,首份报告,海通国际证券,朱默辰,2026Q4,2084500.0,,255100.0,124800.0,1.15,9.28,0.0,25.8,2.21,优于大市,,13.65
603899.SH,晨光股份,20250830,晨光股份2025年中报点评：传统主业承压，科力普Q2增速转正，看好转型释放业绩,点评,一般报告,中泰证券,"张潇,郭美鑫,邹文婕,吴思涵",2027Q4,3154200.0,,269600.0,206600.0,2.24,13.6,,14.2,29.0,买入,,
603899.SH,晨光股份,20250830,晨光股份2025年中报点评：传统主业承压，科力普Q2增速转正，看好转型释放业绩,点评,一般报告,中泰证券,"张潇,郭美鑫,邹文婕,吴思涵",2026Q4,2859800.0,,233300.0,178800.0,1.94,15.7,,14.2,34.0,买入,,
603899.SH,晨光股份,20250830,晨光股份2025年中报点评：传统主业承压，科力普Q2增速转正，看好转型释放业绩,点评,一般报告,中泰证券,"张潇,郭美鑫,邹文婕,吴思涵",2025Q4,2530300.0,,202300.0,155100.0,1.68,18.1,,14.3,40.0,买入,,
002668.SZ,TCL智家,20250830,TCL智家：营收利润延续正增，外销端表现亮眼,点评,首份报告,海通国际证券,朱默辰,2027Q4,2236800.0,,276700.0,136900.0,1.26,8.46,0.0,22.0,1.0,优于大市,,13.65
002668.SZ,TCL智家,20250830,TCL智家：营收利润延续正增，外销端表现亮眼,点评,首份报告,海通国际证券,朱默辰,2025Q4,1944000.0,,234600.0,113400.0,1.05,10.21,0.0,31.8,3.36,优于大市,,13.65
600933.SH,爱柯迪,20250830,爱柯迪：全球化产能落地，机器人业务进展良好,点评,一般报告,西南证券,"郑连声,张雪晴",2026Q4,1027900.0,,168800.0,145300.0,1.48,13.33,1.29,13.96,7.14,买入,,
600933.SH,爱柯迪,20250830,爱柯迪：全球化产能落地，机器人业务进展良好,点评,一般报告,西南证券,"郑连声,张雪晴",2025Q4,843600.0,,144900.0,124800.0,1.27,15.53,0.97,13.56,8.53,买入,,
300525.SZ,博思软件,20250830,博思软件2025年中报点评：业绩短期承压，加速推进AI在财税领域落地,点评,一般报告,民生证券,"吕伟,丁辰晖",2027Q4,301200.0,,55600.0,47500.0,0.63,25.0,1.39,13.73,15.18,推荐,,
300525.SZ,博思软件,20250830,博思软件2025年中报点评：业绩短期承压，加速推进AI在财税领域落地,点评,一般报告,民生证券,"吕伟,丁辰晖",2026Q4,267700.0,,48800.0,41700.0,0.55,28.0,1.22,13.24,17.62,推荐,,
300525.SZ,博思软件,20250830,博思软件2025年中报点评：业绩短期承压，加速推进AI在财税领域落地,点评,一般报告,民生证券,"吕伟,丁辰晖",2025Q4,231200.0,,41500.0,35500.0,0.47,33.0,1.03,12.36,20.98,推荐,,
300548.SZ,长芯博创,20250830,长芯博创：25Q2长芯盛营收环比高增，利润有持续提升空间,点评,一般报告,招商证券,"梁程加,罗嘉成",2025Q4,273900.0,,68600.0,38200.0,1.31,107.9,,19.8,64.0,强烈推荐,,
300548.SZ,长芯博创,20250830,长芯博创：25Q2长芯盛营收环比高增，利润有持续提升空间,点评,一般报告,招商证券,"梁程加,罗嘉成",2026Q4,432300.0,,133900.0,73100.0,2.51,56.4,,30.3,33.6,强烈推荐,,
300548.SZ,长芯博创,20250830,长芯博创：25Q2长芯盛营收环比高增，利润有持续提升空间,点评,一般报告,招商证券,"梁程加,罗嘉成",2027Q4,596400.0,,201000.0,108700.0,3.73,37.9,,34.8,22.6,强烈推荐,,
002284.SZ,亚太股份,20250830,亚太股份25H1业绩点评：25Q2业绩快速增长，新项目逐步释放,点评,一般报告,甬兴证券,"王琎,狄德华",2027Q4,728300.0,,61400.0,57700.0,0.78,15.55,,14.3,7.53,买入,,
002284.SZ,亚太股份,20250830,亚太股份25H1业绩点评：25Q2业绩快速增长，新项目逐步释放,点评,一般报告,甬兴证券,"王琎,狄德华",2026Q4,616100.0,,48300.0,45400.0,0.61,19.77,,12.7,9.66,买入,,
002284.SZ,亚太股份,20250830,亚太股份25H1业绩点评：25Q2业绩快速增长，新项目逐步释放,点评,一般报告,甬兴证券,"王琎,狄德华",2025Q4,513400.0,,37400.0,35100.0,0.48,25.56,,11.0,12.16,买入,,
002001.SZ,新和成,20250830,新和成：多板块普遍景气，蛋氨酸新产能有望放量,点评,首份报告,兴业证券,"吉金,张勋,李思桐",2025Q4,2415500.0,,788000.0,666500.0,2.17,11.5,,19.0,,增持,,
002001.SZ,新和成,20250830,新和成：多板块普遍景气，蛋氨酸新产能有望放量,点评,首份报告,兴业证券,"吉金,张勋,李思桐",2026Q4,2632400.0,,829800.0,701800.0,2.28,10.9,,16.9,,增持,,
002001.SZ,新和成,20250830,新和成：多板块普遍景气，蛋氨酸新产能有望放量,点评,首份报告,兴业证券,"吉金,张勋,李思桐",2027Q4,2838100.0,,902500.0,763200.0,2.48,10.0,,15.8,,增持,,
001979.SZ,招商蛇口,20250830,招商蛇口2025年中报点评：核心城市驱动增长，盈利能力企稳回升,点评,一般报告,国泰海通,"涂力磊,谢皓宇,白淑媛",2025Q4,16166800.0,,,415300.0,0.46,19.96,2.2,4.0,14.06,增持,,14.89
001979.SZ,招商蛇口,20250830,招商蛇口2025年中报点评：核心城市驱动增长，盈利能力企稳回升,点评,一般报告,国泰海通,"涂力磊,谢皓宇,白淑媛",2026Q4,16334800.0,,,482100.0,0.53,17.2,2.5,4.5,10.55,增持,,14.89
001979.SZ,招商蛇口,20250830,招商蛇口2025年中报点评：核心城市驱动增长，盈利能力企稳回升,点评,一般报告,国泰海通,"涂力磊,谢皓宇,白淑媛",2027Q4,17078300.0,,,564500.0,0.62,14.69,3.0,5.2,7.78,增持,,14.89
002600.SZ,领益智造,20250830,领益智造中报点评：多领域应用协同拉动成长，折叠、散热等新兴赛道后劲可期,点评,一般报告,浙商证券,"王凌涛,沈钱",2027Q4,10158096.0,,605100.0,483588.0,0.69,22.52,,14.13,13.05,买入,,
002600.SZ,领益智造,20250830,领益智造中报点评：多领域应用协同拉动成长，折叠、散热等新兴赛道后劲可期,点评,一般报告,浙商证券,"王凌涛,沈钱",2026Q4,7637666.0,,490100.0,391689.0,0.56,27.8,,13.12,15.83,买入,,
002600.SZ,领益智造,20250830,领益智造中报点评：多领域应用协同拉动成长，折叠、散热等新兴赛道后劲可期,点评,一般报告,浙商证券,"王凌涛,沈钱",2025Q4,5783898.0,,315400.0,252067.0,0.36,43.21,,10.56,22.05,买入,,
601038.SH,一拖股份,20250830,一拖股份：业绩低于预期，着力高端化与出海,点评,一般报告,野村东方国际证券,张帆,2027Q4,1353600.0,198000.0,117200.0,102700.0,0.91,14.55,,11.0,6.89,增持,,15.82
601038.SH,一拖股份,20250830,一拖股份：业绩低于预期，着力高端化与出海,点评,一般报告,野村东方国际证券,张帆,2026Q4,1239100.0,178700.0,103400.0,90500.0,0.81,16.5,,11.0,8.3,增持,,15.82
601038.SH,一拖股份,20250830,一拖股份：业绩低于预期，着力高端化与出海,点评,一般报告,野村东方国际证券,张帆,2025Q4,1134600.0,162400.0,92300.0,80800.0,0.72,18.48,,10.0,9.92,增持,,15.82
600064.SH,南京高科,20250830,南京高科：地产结转和投资收益推升业绩，未来转型可期,点评,一般报告,国泰海通,"涂力磊,谢皓宇,谢盐",2027Q4,465600.0,,,239700.0,1.39,5.88,5.1,10.3,5.96,增持,,9.6
