ts_code,trade_date,close,mkt_ret
399300.SZ,2021-05-18,5187.6013,0.0005045337351294
399300.SZ,2021-05-19,5172.272,-0.0029549880789798
399300.SZ,2021-05-20,5186.412,0.002733808276131
399300.SZ,2021-05-21,5134.1483,-0.0100770436286203
399300.SZ,2021-05-24,5155.5875,0.0041758045828166
399300.SZ,2021-05-25,5318.478,0.0315949443201188
399300.SZ,2021-05-26,5320.5927,0.0003976137534085
399300.SZ,2021-05-27,5338.2329,0.0033154576932754
399300.SZ,2021-05-28,5321.0886,-0.00321160584807
399300.SZ,2021-05-31,5331.5696,0.0019697097319522
399300.SZ,2021-06-01,5341.6798,0.0018962896029717
399300.SZ,2021-06-02,5289.9736,-0.0096797640322805
399300.SZ,2021-06-03,5255.2855,-0.0065573295110584
399300.SZ,2021-06-04,5282.2772,0.0051361053552656
399300.SZ,2021-06-07,5277.6271,-0.0008803210857621
399300.SZ,2021-06-08,5232.1165,-0.0086233072435146
399300.SZ,2021-06-09,5236.4493,0.0008281161170626
399300.SZ,2021-06-10,5271.4661,0.0066871267138974
399300.SZ,2021-06-11,5224.703,-0.0088709856258013
399300.SZ,2021-06-15,5166.5597,-0.0111285368756847
399300.SZ,2021-06-16,5080.4909,-0.0166588223107148
399300.SZ,2021-06-17,5101.8924,0.0042124866319512
399300.SZ,2021-06-18,5102.4657,0.0001123700688003
399300.SZ,2021-06-21,5090.3854,-0.0023675416377614
399300.SZ,2021-06-22,5122.1583,0.0062417474323259
399300.SZ,2021-06-23,5147.3938,0.0049267317646155
399300.SZ,2021-06-24,5155.9738,0.0016668629472258
399300.SZ,2021-06-25,5239.9684,0.0162907344486507
399300.SZ,2021-06-28,5251.7604,0.0022503952504753
399300.SZ,2021-06-29,5190.5445,-0.0116562629170973
399300.SZ,2021-06-30,5224.041,0.0064533691985493
399300.SZ,2021-07-01,5229.6642,0.0010764080909777
399300.SZ,2021-07-02,5081.1172,-0.0284046918347071
399300.SZ,2021-07-05,5085.7924,0.000920112608306
399300.SZ,2021-07-06,5083.1043,-0.0005285508704603
399300.SZ,2021-07-07,5140.4899,0.0112894791476145
399300.SZ,2021-07-08,5088.2566,-0.0101611521501092
399300.SZ,2021-07-09,5069.4361,-0.0036988111016256
399300.SZ,2021-07-12,5132.7088,0.0124812106814011
399300.SZ,2021-07-13,5142.0991,0.0018295018022451
399300.SZ,2021-07-14,5083.0849,-0.0114766749633433
399300.SZ,2021-07-15,5151.4626,0.0134520082479834
399300.SZ,2021-07-16,5094.7727,-0.0110046222600935
399300.SZ,2021-07-19,5113.4945,0.0036747076076621
399300.SZ,2021-07-20,5108.9941,-0.0008801026382251
399300.SZ,2021-07-21,5144.0428,0.0068601958260237
399300.SZ,2021-07-22,5151.7517,0.0014986072821943
399300.SZ,2021-07-23,5089.2282,-0.0121363574257664
399300.SZ,2021-07-26,4925.299,-0.0322110138429241
