ts_code,event_type,industry,report_period,announcement_date,event_trading_date,earnings_surprise,ES_std,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,consensus_source_v2,positive_revision_dummy,size,beta,book_to_market,turnover20,CAR3,CAR5,CAR20
000762.SZ,guidance_initial,小金属,2020-09-30,2020-10-15,2020-10-16,-182.01525,-0.02633301819245685,-136.05025,45.965,cross_sectional_90d_median,fallback_zero,0,1932760.1996,0.828454962086189,0.1512538947877908,,0.024369282930516552,-0.0002729822993853062,0.16544022814008733
000766.SZ,guidance_initial,化学制药,2020-09-30,2020-10-15,2020-10-16,-237.571,-0.398022488811847,-191.606,45.965,cross_sectional_90d_median,fallback_zero,0,2216172.3632,0.7579162098658642,0.10383676859976118,,0.001086357489293763,-0.009767778344488028,-0.17285807318697863
000786.SZ,guidance_upward_revision,其他建材,2020-09-30,2020-10-15,2020-10-16,3359.3600000000006,0.39877895340643554,18558.02,15198.66,prior_guidance_same_period,prior_guidance_same_period,1,4352617.5594,0.7926235575757317,0.6241028521500342,,0.012010259719964398,-0.03194623468315336,0.028946177693246214
000796.SZ,guidance_initial,旅游服务,2020-09-30,2020-10-15,2020-10-16,-226.925,-1.1117997555908286,-180.96,45.965,cross_sectional_90d_median,fallback_zero,0,885291.4816,1.7965307778376867,0.09366891784299215,,-0.01652180213849363,-0.02554711678645425,-0.05945033336815325
000797.SZ,guidance_initial,全国地产,2020-09-30,2020-10-15,2020-10-16,-196.04999999999998,-0.1694762416088981,-150.08499999999998,45.965,cross_sectional_90d_median,industry_hist_median,0,439811.1808,0.7944444078475587,1.0751532093323297,,-0.007366250383363686,-0.0097935991217559,-0.08531006071670513
000800.SZ,guidance_initial,汽车整车,2020-09-30,2020-10-15,2020-10-16,1.1749999999999972,0.7644781192977674,47.14,45.965,cross_sectional_90d_median,fallback_zero,0,3499030.7732,0.9630389801623694,0.7565441065214101,,-9.628520215902714e-06,0.005700681381848673,-0.003871516059911921
000801.SZ,guidance_initial,家用电器,2020-09-30,2020-10-15,2020-10-16,731.7035999999999,1.615448324388718,777.6686,45.965,cross_sectional_90d_median,fallback_zero,0,1430985.2607,0.9037215615252776,0.21715526601520085,,-0.005496030077970719,-0.015464450742096547,-0.05696038882163416
000802.SZ,guidance_initial,影视音像,2020-09-30,2020-10-15,2020-10-16,-240.78295,-0.38704277893072914,-194.81795,45.965,cross_sectional_90d_median,fallback_zero,0,282780.6007,0.8634857596288761,0.27562636090515696,,-0.005814052189341938,-0.030479040313560503,-0.12108664913939107
000807.SZ,guidance_initial,铝,2020-09-30,2020-10-15,2020-10-16,49.035,1.001197221098071,95.0,45.965,cross_sectional_90d_median,fallback_zero,0,12630300.869,1.641062544334238,0.253613999492772,,0.02139598781176367,0.04292349263369701,0.29066446766612675
000809.SZ,guidance_initial,电气设备,2020-09-30,2020-10-15,2020-10-16,-78.87695000000001,-0.39371407183680335,-32.911950000000004,45.965,cross_sectional_90d_median,industry_hist_median,0,290326.5351,0.6830728437047333,0.9198785760279643,,0.001057866461381736,-0.018669067214097532,-0.034996537852810344
000812.SZ,guidance_initial,广告包装,2020-09-30,2020-10-15,2020-10-16,-110.965,-0.1350242778032528,-65.0,45.965,cross_sectional_90d_median,fallback_zero,0,302532.4748,0.8784776546473851,0.5140595280933532,,0.010713223233432274,-0.011606840785950734,-0.028051257949024334
