ts_code,event_type,industry,report_period,announcement_date,event_trading_date,earnings_surprise,ES_std,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,consensus_source_v2,positive_revision_dummy,size,beta,book_to_market,turnover20,CAR20,CAR60
000428.SZ,guidance_initial,酒店餐饮,2020-06-30,2020-07-15,2020-07-16,-54.579750000000004,-0.12729673451974358,-61.28,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,404513.622,1.018622342861791,0.3445543189883885,,-0.06649731984136818,-0.21620084418146465
000429.SZ,guidance_initial,路桥,2020-06-30,2020-07-15,2020-07-16,-94.1673,-0.20953181680820757,-100.86755,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,2686685.8719,0.5918100521228193,0.41375315486780584,,-0.02695264482005066,-0.05656306504321974
000501.SZ,guidance_initial,百货,2020-06-30,2020-07-15,2020-07-16,-100.38475000000001,-0.22244730443940502,-107.08500000000001,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,661333.7487,1.1539248966836768,1.6490765171503956,,0.16059605716307782,-0.24671018265410255
000506.SZ,guidance_initial,黄金,2020-06-30,2020-07-15,2020-07-16,-997.8433,-2.086734882471781,-1004.54355,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,1614632.8686,0.9527298691902016,0.055064866412634084,,0.12059451037243596,-0.021500337474850792
000509.SZ,guidance_initial,元器件,2020-06-30,2020-07-15,2020-07-16,20.12735,0.02789206893064701,13.4271,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,400276.7634,0.5667579261011486,0.030833459236625217,,0.28915547458335833,0.21885584565500785
000513.SZ,guidance_initial,化学制药,2020-06-30,2020-07-15,2020-07-16,41.70025,0.07270538035559766,35.0,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,3046409.5037,0.6948302772039004,0.4558924093913837,,0.038509977585096195,-0.0015553140666219449
000514.SZ,guidance_initial,区域地产,2020-06-30,2020-07-15,2020-07-16,50.530249999999995,0.09104790917102415,43.83,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,405010.0632,0.8391899498526957,0.9363295880149812,,-0.03139208820238759,-0.09683575109171674
000516.SZ,guidance_initial,医疗保健,2020-06-30,2020-07-15,2020-07-16,-6958.9714,-9.504402971465137,-6965.67165,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,1052281.4739,0.9422627949410739,0.31717838112154273,,0.10265439370328533,0.12438836081285538
000521.SZ,guidance_initial,家用电器,2020-06-30,2020-07-15,2020-07-16,-479.79475,-1.0105944004598995,-486.495,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,589116.365,0.8459186761320678,1.0326311441553078,,0.08617516630759814,0.0005311441328978844
000523.SZ,guidance_initial,食品,2020-06-30,2020-07-15,2020-07-16,-437.4772,-0.9226882985036988,-444.17744999999996,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,592856.3129,0.6325817862891623,0.3236664940445365,,0.07679844112231902,-0.3694741904344932
000524.SZ,guidance_initial,旅游服务,2020-06-30,2020-07-15,2020-07-16,-168.12474999999998,-0.3631633748762103,-174.825,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,723825.2848,0.7308418769422435,0.3159757330637007,,0.5000475774576854,0.05663572685216816
000525.SZ,guidance_initial,农药化肥,2020-06-30,2020-07-15,2020-07-16,-70.82475000000001,-0.16104241748764883,-77.525,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,766257.2221,1.0339538603436467,0.34372529474444025,,-0.19026613829007025,-0.31132131476254393
000526.SZ,guidance_initial,文教休闲,2020-06-30,2020-07-15,2020-07-16,-45.53475,-0.10850758693927554,-52.235,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,393367.6599,0.6868942617214092,0.25351755609075927,,-0.09027065138264571,-0.30154891116124555
000533.SZ,guidance_initial,电气设备,2020-06-30,2020-07-15,2020-07-16,193.2775,0.3875762836271838,186.57725,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,1083890.304,1.1006920222142762,0.0893854748603352,,0.06760242619667924,0.0432354052644804
000536.SZ,guidance_initial,元器件,2020-06-30,2020-07-15,2020-07-16,8.32525,0.00337560694508132,1.625,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,1175563.9413,0.839481658726336,0.04865043688092319,,0.22733189338732962,0.2644011379772398
000548.SZ,guidance_initial,路桥,2020-06-30,2020-07-15,2020-07-16,140.70025,0.2783577419328596,134.0,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,264584.3798,0.737711315034398,0.776156473144986,,0.04677953189635009,0.07538253179805308
000553.SZ,guidance_initial,农药化肥,2020-06-30,2020-07-15,2020-07-16,-61.249750000000006,-0.1411523027189389,-67.95,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,1465451.6008,0.7209382889102792,1.1993283761093787,,-0.025426026375882645,-0.11472667179714947
000560.SZ,guidance_initial,房产服务,2020-06-30,2020-07-15,2020-07-16,-83.45475,-0.18727867331311163,-90.155,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,697228.2519,1.0318735128756302,1.3504388926401079,,0.28399021603891,0.016146784345383677
000561.SZ,guidance_initial,通信设备,2020-06-30,2020-07-15,2020-07-16,243.99525,0.4929320923280442,237.295,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,861426.1833,0.9606360834456511,0.36616623947272064,,0.21755573449750554,0.01697911839038412
000564.SZ,guidance_initial,百货,2020-06-30,2020-07-15,2020-07-16,-3965.37775,-8.251184051202904,-3972.078,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,3394915.9106,0.9943425291826076,0.46360686138154844,,-0.2129524906372802,-0.3739431686330705
000572.SZ,guidance_initial,汽车整车,2020-06-30,2020-07-15,2020-07-16,14.133600000000001,0.015441272544750912,7.433350000000001,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,958823.0364,0.5537574888356905,0.17536168347216136,,0.6180224227671225,0.30493705259526804
