ts_code,event_type,report_period,announcement_date,event_trading_date,earnings_surprise,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,positive_revision_dummy,CAR20,CAR60,size,beta,book_to_market,turnover20
000721.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-327.1092,-330.9292,-3.8200000000000003,cross_sectional_90d_median,0,0.010732513806480055,-0.08809124553683714,474627.1327,0.5468218227763924,0.04586293403534198,
000759.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-288.625,-292.445,-3.8200000000000003,cross_sectional_90d_median,0,0.03863894887722773,-0.08631541598561243,368329.756,0.731343441468376,0.3290014805066623,
000800.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,18.295,14.475,-3.8200000000000003,cross_sectional_90d_median,0,-0.041234043652875585,-0.19256617588478556,3499030.7732,0.9835504638138459,0.7565441065214101,
000811.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-51.68,-55.5,-3.8200000000000003,cross_sectional_90d_median,0,-0.005270153195169346,-0.08986840035760736,1911512.5991,0.93239388408804,0.33366700033366703,
000822.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-161.79000000000002,-165.61,-3.8200000000000003,cross_sectional_90d_median,0,0.22129700734509103,0.09179332919515149,517363.1332,0.8424770045128386,0.7400828892835998,
000830.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-66.70500000000001,-70.525,-3.8200000000000003,cross_sectional_90d_median,0,0.14126034276484326,0.03172858653483218,3081188.1598,1.0819263811111137,0.6183909467565395,
000833.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-168.1782,-171.9982,-3.8200000000000003,cross_sectional_90d_median,0,0.030243757561741427,-0.06594200910116088,1961091.0303,0.9649770476459184,0.2008233758409479,
000850.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-59.46,-63.28,-3.8200000000000003,cross_sectional_90d_median,0,-0.004310076950925156,0.04128496847178842,469001.5095,0.7919317979235262,0.9709680551509855,
000877.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,3.9000000000000004,0.08,-3.8200000000000003,cross_sectional_90d_median,0,0.2569592041670229,-0.06981514884413755,1884555.1573,0.9312997291466378,0.48192771084337344,
000897.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,915.30295,911.48295,-3.8200000000000003,cross_sectional_90d_median,0,-0.05526686459474476,0.07769609037660419,399466.2418,0.6418866397255654,0.32127481847972755,
000911.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,111.94999999999999,108.13,-3.8200000000000003,cross_sectional_90d_median,0,0.06955317912750775,0.3061371282556468,214541.5803,0.598361890191671,0.03877081023239223,
000919.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-86.18,-90.0,-3.8200000000000003,cross_sectional_90d_median,0,0.03758333869844462,-0.08458407635943747,364896.0,0.6094462213927274,0.7811279487580065,
000930.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,97.32,93.5,-3.8200000000000003,cross_sectional_90d_median,0,0.1954379083016679,0.130586080789041,1462758.8098,0.5053270843075294,0.676132521974307,
000931.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-76.53,-80.35,-3.8200000000000003,cross_sectional_90d_median,0,-0.07791106677201426,-0.23589901826485238,789277.0771,0.9472936372309695,0.20958209330594796,
000932.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-9.819999999999999,-13.639999999999999,-3.8200000000000003,cross_sectional_90d_median,0,-0.00966579909780223,0.15683757777516313,2733568.4361,0.9336311847029019,1.0185373803218578,
000936.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-130.495,-134.315,-3.8200000000000003,cross_sectional_90d_median,0,-0.23909046440659382,-0.415878989196677,1041065.1422,1.0340536305513175,0.47087630079578097,
000973.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-3.5349999999999993,-7.3549999999999995,-3.8200000000000003,cross_sectional_90d_median,0,0.01319809681614477,-0.08675263397947156,489516.1245,1.1186721777386364,0.4760771244941681,
